Ingreso mediano (decenas de miles de USD),Regresión lineal,Regresión polinomial (grado 2),Regresión log-lineal,Árbol de decisión
2.670995060240962,1.6375205734015523,1.4823658425988309,1.577301722413003,2.0373124999999996
2.709187847389556,1.6546567187253296,1.5058540379591125,1.5899364350573735,2.0373124999999996
2.7473806345381506,1.6717928640491073,1.5292519426439606,1.6026330868849672,2.0373124999999996
2.7855734216867445,1.6889290093728846,1.5525595566533736,1.6153919815403959,2.0373124999999996
2.8237662088353392,1.7060651546966623,1.5757768799873526,1.6282134241568293,2.0373124999999996
2.861958995983933,1.7232013000204396,1.5989039126458966,1.6410977213632925,2.0373124999999996
2.900151783132528,1.7403374453442175,1.6219406546290067,1.6540451812919983,2.0373124999999996
2.938344570281122,1.757473590667995,1.644887105936682,1.6670561135857174,2.0373124999999996
2.9765373574297165,1.7746097359917725,1.6677432665689227,1.680130829405182,2.0373124999999996
3.014730144578311,1.79174588131555,1.6905091365257294,1.6932696414365296,2.0373124999999996
3.052922931726905,1.8088820266393275,1.7131847158071012,1.7064728638987785,2.0373124999999996
3.091115718875499,1.8260181719631048,1.7357700044130386,1.7197408125513451,2.0095447154471544
3.1293085060240937,1.8431543172868825,1.758265002343542,1.7330738047015934,2.0095447154471544
3.1675012931726885,1.8602904626106602,1.780669709598611,1.746472159212423,2.0095447154471544
3.2056940803212823,1.8774266079344377,1.8029841261782449,1.7599361965098965,2.0095447154471544
3.243886867469877,1.8945627532582154,1.8252082520824446,1.773466238590904,2.0095447154471544
3.282079654618471,1.9116988985819927,1.8473420873112096,1.787062609030858,2.0095447154471544
3.3202724417670657,1.9288350439057704,1.8693856318645405,1.8007256329914383,2.0095447154471544
3.3584652289156596,1.9459711892295477,1.891338885742437,1.814455637228365,2.0095447154471544
3.3966580160642543,1.9631073345533254,1.913201848944899,1.828252950099214,2.0095447154471544
3.434850803212848,1.9802434798771027,1.934974521471926,1.8421179015712674,2.0095447154471544
3.473043590361443,1.9973796252008804,1.9566569033235193,1.8560508232294093,2.0095447154471544
3.511236377510037,2.0145157705246577,1.9782489944996775,1.8700520482840512,2.0095447154471544
3.5494291646586316,2.0316519158484354,1.9997507950004016,1.8841219115791046,2.0095447154471544
3.5876219518072254,2.0487880611722127,2.0211623048256913,1.8982607495999853,2.0095447154471544
3.62581473895582,2.0659242064959904,2.0424835239755463,1.9124689004816635,2.0095447154471544
3.664007526104414,2.0830603518197677,2.063714452449967,1.9267467040167494,2.0095447154471544
3.702200313253009,2.1001964971435454,2.0848550902489533,1.9410945016636192,2.0095447154471544
3.7403931004016027,2.117332642467323,2.105905437372505,1.9555126365545803,2.0095447154471544
3.7785858875501974,2.134468787791101,2.126865493820622,1.9700014535040804,2.0095447154471544
3.8167786746987913,2.151604933114878,2.1477352595933046,1.9845612990169497,2.0095447154471544
3.854971461847386,2.168741078438656,2.1685147346905533,1.9991925212966928,2.0095447154471544
3.89316424899598,2.185877223762433,2.1892039191123667,2.01389547025381,2.0095447154471544
3.9313570361445747,2.203013369086211,2.2098028128587464,2.0286704975141707,2.0095447154471544
3.9695498232931694,2.2201495144099885,2.230311415929692,2.0435179564274204,2.0095447154471544
4.007742610441763,2.237285659733766,2.250729728325202,2.058438202075431,2.0095447154471544
4.045935397590358,2.2544218050575435,2.271057750045278,2.0734315912807926,2.0095447154471544
4.084128184738952,2.271557950381321,2.2912954810899198,2.0884984826153494,2.0095447154471544
4.122320971887547,2.2886940957050985,2.3114429214591268,2.1036392364087724,2.3668121212121216
4.1605137590361405,2.305830241028876,2.3315000711528993,2.1188542147571763,2.3668121212121216
4.198706546184735,2.3229663863526535,2.351466930171238,2.134143781531782,2.3668121212121216
4.236899333333329,2.340102531676431,2.3713434985141415,2.149508302387617,2.3668121212121216
4.275092120481924,2.3572386770002085,2.391129776181611,2.1649481447722607,2.3668121212121216
4.313284907630518,2.3743748223239862,2.4108257631736456,2.1804636779346303,2.3668121212121216
4.3514776947791125,2.391510967647764,2.4304314594902463,2.1960552729338136,2.3668121212121216
4.389670481927706,2.4086471129715408,2.4499468651314116,2.211723302647943,2.3668121212121216
4.427863269076301,2.4257832582953185,2.4693719800971436,2.2274681417831115,2.3668121212121216
4.466056056224895,2.442919403619096,2.48870680438744,2.2432901668823346,2.3668121212121216
4.50424884337349,2.460055548942874,2.507951338002303,2.2591897563345564,2.3668121212121216
4.542441630522084,2.477191694266651,2.527105580941731,2.275167290383697,2.3668121212121216
4.580634417670678,2.494327839590429,2.546169533205725,2.2912231511377485,2.684588697916666
4.618827204819272,2.511463984914206,2.5651431947942838,2.30735772257791,2.684588697916666
4.657019991967867,2.528600130237984,2.5840265657074086,2.323571390567775,2.684588697916666
4.695212779116461,2.545736275561761,2.6028196459450985,2.3398645428625553,2.684588697916666
4.733405566265056,2.562872420885539,2.6215224355073543,2.356237569118357,2.684588697916666
4.77159835341365,2.5800085662093166,2.640134934394176,2.372690860901497,2.684588697916666
4.809791140562244,2.597144711533094,2.6586571426055627,2.3892248116978703,2.684588697916666
4.847983927710839,2.6142808568568716,2.6770890601415154,2.4058398169223585,2.684588697916666
4.886176714859433,2.6314170021806493,2.695430687002033,2.422536273928285,2.684588697916666
4.924369502008028,2.648553147504427,2.7136820231871166,2.439314582016921,2.684588697916666
4.9625622891566215,2.665689292828204,2.731843068696765,2.456175142447033,2.684588697916666
5.000755076305216,2.6828254381519816,2.74991382353098,2.47311835844448,2.684588697916666
5.03894786345381,2.6999615834757593,2.7678942876897596,2.4901446352118537,2.684588697916666
5.077140650602405,2.717097728799537,2.7857844611731055,2.5072543799381743,2.684588697916666
5.115333437750999,2.734233874123314,2.803584343981017,2.524448001808625,2.6725964912280706
5.1535262248995934,2.7513700194470916,2.8212939361134937,2.541725912014336,2.6725964912280706
5.191719012048188,2.7685061647708693,2.838913237570536,2.5590885237622247,2.6725964912280706
5.229911799196782,2.785642310094647,2.8564422483521437,2.5765362522848716,2.6725964912280706
5.268104586345377,2.8027784554184247,2.8738809684583173,2.5940695148504536,2.6725964912280706
5.306297373493971,2.819914600742202,2.891229397889056,2.6116887307727215,2.6725964912280706
5.344490160642565,2.8370507460659793,2.9084875366443605,2.6293943214210294,3.0211829032258066
5.382682947791159,2.854186891389757,2.92565538472423,2.647186710230413,3.0211829032258066
5.420875734939754,2.8713230367135347,2.9427329421286657,2.6650663227117115,3.0211829032258066
5.459068522088348,2.8884591820373124,2.9597202088576666,2.6830335864617494,3.0211829032258066
5.497261309236943,2.90559532736109,2.976617184911233,2.7010889311735595,3.0211829032258066
