learning_rate,epoca,costo_entrenamiento
0.001,117,0.0727240248925093
0.001,118,0.07173545009206056
0.001,119,0.07074116436498734
0.001,120,0.06979071762816634
0.001,121,0.06886358502945703
0.001,122,0.0679117577458651
0.001,123,0.06697146833531221
0.001,124,0.06607011832708413
0.001,125,0.06521521467090716
0.001,126,0.06442516611085473
0.001,127,0.0635088275373693
0.001,128,0.0626353584402631
0.001,129,0.061860950408799326
0.001,130,0.06108608115067789
0.001,131,0.06026222183251735
0.001,132,0.059505948232898655
0.001,133,0.05870223810954617
0.001,134,0.0580094498084046
0.001,135,0.05722229199336489
0.001,136,0.056536946108238145
0.001,137,0.05583723389478116
0.001,138,0.055132819640263175
0.001,139,0.054403724947026125
0.001,140,0.05382269604361337
0.001,141,0.053086884356221435
0.001,142,0.05249060056237998
0.001,143,0.05185441674597372
0.001,144,0.05120916070329669
0.001,145,0.05061285667134353
0.001,146,0.050019228410288934
0.001,147,0.049416126120838566
0.001,148,0.04881964553815436
0.001,149,0.048231804380599326
0.001,150,0.047691236122939656
0.001,151,0.04714310002101876
0.001,152,0.04660852161901183
0.001,153,0.04605999436571719
0.001,154,0.045515265491674936
0.001,155,0.0450566996003496
0.001,156,0.0444925649495455
0.001,157,0.04400556601538429
0.001,158,0.04356642378103426
0.001,159,0.04301364433392311
0.001,160,0.042539332348525576
0.001,161,0.04210150392025006
0.001,162,0.04162061806572545
0.001,163,0.041160445240994735
0.001,164,0.0407153538379253
0.001,165,0.04027003813959619
0.001,166,0.03985364209968563
0.001,167,0.039414813257952055
0.001,168,0.038986056398608936
0.001,169,0.0385750556921278
0.001,170,0.03816037836997447
0.001,171,0.03777886850674953
0.001,172,0.03739193554403399
0.001,173,0.0369748220279852
0.001,174,0.0365891303207165
0.001,175,0.03622842981183514
0.001,176,0.03582773780940479
0.001,177,0.035475593235286075
0.001,178,0.03509830889433716
0.001,179,0.03473856314043298
0.001,180,0.03436366887912392
0.001,181,0.034034850453944804
0.001,182,0.03368841333779278
0.001,183,0.0333409695276581
0.001,184,0.03301942924763145
0.001,185,0.032709650705136914
0.001,186,0.03235978463450259
0.001,187,0.03202209827331779
0.001,188,0.03171598569791152
0.001,189,0.03138886938324592
0.001,190,0.03107988288638251
0.001,191,0.03079569619528158
0.001,192,0.03051394961838649
0.001,193,0.03018635705864532
0.001,194,0.029883478348262407
0.001,195,0.02960570770136947
0.001,196,0.029390411055039103
0.001,197,0.02904333282387386
0.001,198,0.028780207473916866
0.001,199,0.02848094507544841
0.001,200,0.02825059055529788
0.001,201,0.02797417829432756
0.001,202,0.027695310957225893
0.001,203,0.027428922691784464
0.001,204,0.02716345303765088
0.001,205,0.02692633179001908
0.001,206,0.02666963281464488
0.001,207,0.026417690817461134
0.001,208,0.02616663070262122
0.001,209,0.025912861974499664
0.001,210,0.025679754440981285
0.001,211,0.02544619476513182
0.001,212,0.025208868235915928
0.001,213,0.024990737259215377
0.001,214,0.024764914218388098
0.001,215,0.02452981880540523
0.001,216,0.024317604843034323
0.001,217,0.02408690368077353
0.001,218,0.023870608719226107
0.001,219,0.02365818680086129
0.001,220,0.023447860127311784
0.001,221,0.023233494544703134
0.001,222,0.023026507027439035
0.001,223,0.022854589373058044
0.001,224,0.022649543402786996
0.001,225,0.02245027968803052
0.001,226,0.02225262851894972
0.001,227,0.022065548088573396
0.001,228,0.021870388357015283
0.001,229,0.021666273857631393
0.001,230,0.021465302028574676
0.001,231,0.02128715659137435
0.001,232,0.021125986173063084
0.001,233,0.020919893717916804
0.001,234,0.020754316468326286
0.001,235,0.020566500984580127
0.001,236,0.020386149821131006
0.001,237,0.02021750883613665
0.001,238,0.020061166497169165
0.001,239,0.019888971505944434
0.001,240,0.01971970363731146
0.001,241,0.019566780697003718
0.001,242,0.01939650253764679
0.001,243,0.019223200261517925
0.001,244,0.019073885964773284
0.001,245,0.01891875760145998
0.001,246,0.01876025225505975
0.001,247,0.018603033731042735
0.001,248,0.018453090027844676
0.001,249,0.01830209337834752
0.001,250,0.018150240821291398
0.001,251,0.017997434244892526
0.001,252,0.017867349254439436
0.001,253,0.01771978103752494
0.001,254,0.01757605302588854
0.001,255,0.017431895018824282
0.001,256,0.01730007568769187
0.001,257,0.01716122767770851
0.001,258,0.017044184415815705
0.001,259,0.016888680435746845
0.001,260,0.01675400434481316
0.001,261,0.016623117279081067
0.001,262,0.016484315355260317
0.001,263,0.016348184853733416
0.001,264,0.016231640938099198
0.001,265,0.016104092837633716
0.001,266,0.015977144321726137
0.001,267,0.015867212068042185
0.001,268,0.015730552298054482
0.001,269,0.015617961156993153
0.001,270,0.015488463559538944
0.001,271,0.015363467824320187
0.001,272,0.015250604747371993
0.001,273,0.015129428694230854
0.001,274,0.01502747095066914
